no	Article No	Doi Number	Used form Perovskite	Type of perovskite	Perovskite	A	x of A	A1/B1	x of A1/B1	B	x of B	X	x of X	Additional material	Ratio of additional to the perovskite	Synthesis Method of Perovskite	Dope	deope percentage (%)	cocatalyst %	cocatalyst method	cocatalyst	cocat-2 %	cocat-2 method	cocat-2	Bet Surface Area (m2g-1)	Calcination Time (h)	Calcination Temperature (C )	cat W (g)	wavelenght	Light Type	Reaction Temperature (C )	Reaction Pressure (bar)	Liq or Gas	Band Gap*	Crystal stracture	H2O:CO2	total yield (?mol gcat-1 h-1)
134	33	https://doi.org/10.1016/j.apsusc.2018.04.049	SrTiO3	titanate	SrTiO3	Sr	1			Ti	1.01	O	3	No		HT	none			none	none		none	none	17	24	200	0.02	400	visible	25	1	liq	3.31	tetragonal		4.068333333
135	33	https://doi.org/10.1016/j.apsusc.2018.04.049	SrTiO3	titanate	SrTiO3	Sr	1			Ti	1.1	O	3	No		HT	none			none	none		none	none	13	24	200	0.02	400	visible	25	1	liq	3.3	octahedron		5.846666667
136	33	https://doi.org/10.1016/j.apsusc.2018.04.049	SrTiO3	titanate	SrTiO3	Sr	1			Ti	0.98	O	3	No		HT	none			none	none		none	none	17	24	200	0.02	400	visible	25	1	liq	3.31	octahedron		3.05
137	34	http://dx.doi.org/10.1016/j.apsusc.2015.08.063	BaCeO3	other	BaCeO3	Ba	1			Ce	1	O	3	No		PTP	none			none	none		none	none	3.4	6	1000	0.1	350	UV	25	1	liq	3.2	cubic		0.0685077
138	34	http://dx.doi.org/10.1016/j.apsusc.2015.08.063	BaCeO3	other	BaCeO3	Ba	1			Ce	1	O	3	Yes		PTP	none		0.5	impregnation	Au		none	none	3.4	6	1000	0.1	350	UV	25	1	liq	3.2	cubic		0.082846522
139	34	http://dx.doi.org/10.1016/j.apsusc.2015.08.063	BaCeO3	other	BaCeO3	Ba	1			Ce	1	O	3	Yes		PTP	none		0.5	impregnation	CuO		none	none	3.4	6	1000	0.1	350	UV	25	1	liq	3.2	cubic		0.10196495
140	34	http://dx.doi.org/10.1016/j.apsusc.2015.08.063	BaCeO3	other	BaCeO3	Ba	1			Ce	1	O	3	Yes		PTP	none		0.5	impregnation	Pt		none	none	3.4	6	1000	0.1	350	UV	25	1	liq	3.2	cubic		0.115507169
141	34	http://dx.doi.org/10.1016/j.apsusc.2015.08.063	BaCeO3	other	BaCeO3	Ba	1			Ce	1	O	3	Yes		PTP	none		0.5	impregnation	RuO2		none	none	3.4	6	1000	0.1	350	UV	25	1	liq	3.2	cubic		0.14338821
142	34	http://dx.doi.org/10.1016/j.apsusc.2015.08.063	BaCeO3	other	BaCeO3	Ba	1			Ce	1	O	3	Yes		PTP	none		0.5	chemical reduction	Ag		none	none	3.4	6	1000	0.1	350	UV	25	1	liq	3.2	cubic		0.39511418
143	34	http://dx.doi.org/10.1016/j.apsusc.2015.08.063	BaCeO3	other	BaCeO3	Ba	1			Ce	1	O	3	Yes		PTP	none		0.3	chemical reduction	Ag		none	none	3.4	6	1000	0.1	350	UV	25	1	liq	3.2	cubic		0.554285714
144	34	http://dx.doi.org/10.1016/j.apsusc.2015.08.063	BaCeO3	other	BaCeO3	Ba	1			Ce	1	O	3	Yes		PTP	none		0.2	chemical reduction	Ag		none	none	3.4	6	1000	0.1	350	UV	25	1	liq	3.2	cubic		0.277142857
145	35	http://dx.doi.org/10.1016/j.cattod.2017.02.050	SrTiO3	titanate	SrTiO3	Sr	1			Ti	1	O	3	No		APC	none			none	none		none	none	12	2	900	0.4	463	visible			liq	3.13	cubic		352.22
146	35	http://dx.doi.org/10.1016/j.cattod.2017.02.050	SrTiFeSON	layered	SrTiFeSON	Sr				Ti		O		Yes		APC	"Fe,S,N"	3		none	none		none	none	12	2	900	0.4	463	visible			liq	2.75	cubic		557.14
147	35	http://dx.doi.org/10.1016/j.cattod.2017.02.050	Sr3Ti2O7	layered	Sr3Ti2O7	Sr	3			Ti	2	O	7	No		APC	none			none	none		none	none	25	2	900	0.4	463	visible			liq	3.14	cubic		377.83
148	35	http://dx.doi.org/10.1016/j.cattod.2017.02.050	Sr3TiFeSON	layered	Sr3TiFeSON	Sr				Ti		O		Yes		APC	"Fe,S,N"	3		none	none		none	none	25	2	900	0.4	463	visible			liq	2.4	cubic		1226.35
149	35	http://dx.doi.org/10.1016/j.cattod.2017.02.050	Sr4Ti3O10	layered	Sr4Ti3O10	Sr	4			Ti	3	O	10	No		APC	none			none	none		none	none	15	2	900	0.4	463	visible			liq	3.12	cubic		406.65
150	35	http://dx.doi.org/10.1016/j.cattod.2017.02.050	Sr3TiFeSON	layered	Sr3TiFeSON	Sr				Ti		O		Yes		APC	"Fe,S,N"	3		none	none		none	none	15	2	900	0.4	463	visible			liq	2.71	cubic		662.81
151	36	10.1039/c4ra11985a	Sr3Ti2O7	layered	Sr3Ti2O7	Sr	3			Ti	2	O	7	No		MPC	none			none	none		none	none	20	2	900	0.4	420	visible			liq	3.14	cubic		23.61
152	36	10.1039/c4ra11985a	Sr3Ti2ON	layered	Sr3Ti2ON	Sr	3			Ti	2	O		Yes		MPC	N	3		none	none		none	none	25	2	900	0.4	420	visible			liq	2.99	cubic		26.58
153	36	10.1039/c4ra11985a	Sr3TiS2ON	layered	Sr3TiS2ON	Sr	3			Ti		O		Yes		MPC	"S,N"	3		none	none		none	none	25	2	900	0.4	420	visible			liq	2.85	cubic		45
154	36	10.1039/c4ra11985a	Sr3TiFeO7	layered	Sr3TiFeO7	Sr	3			Ti		O	7	Yes		MPC	Fe	3		none	none		none	none	25	2	900	0.4	420	visible			liq	2.73	cubic		37.61
155	36	10.1039/c4ra11985a	Sr3TiFeON	layered	Sr3TiFeON	Sr	3			Ti		O		Yes		MPC	"Fe,N"	3		none	none		none	none	25	2	900	0.4	420	visible			liq	2.57	cubic		57.77
156	36	10.1039/c4ra11985a	Sr3TiFeS2ON	layered	Sr3TiFeS2ON	Sr	3			Ti		O		Yes		MPC	"Fe,N,S"	3		none	none		none	none	25	2	900	0.4	420	visible			liq	2.39	cubic		75.56
157	37	10.1002/bkcs.11100	CaTiO3@BF	titanate	CaTiO3	Ca	1			Ti	1	O	3	Yes		HT	none			none	none		none	none	5.4	6	900		365	visible		1	liq	3.59	cubic		2.34125
158	37	10.1002/bkcs.11100	CaTiO3@BF	titanate	CaTiO3	Ca	1			Ti	1	O	3	Yes		HT	none			none	none		none	none	5.4	6	900		365	visible		1	liq	3.61	cubic		13.5675
159	37	10.1002/bkcs.11100	CaTiO3@BF	titanate	CaTiO3	Ca	1			Ti	1	O	3	Yes		HT	none			none	none		none	none	5.4	6	900		365	visible		1	liq	3.66	cubic		2.505
160	38	10.1016/j.egypro.2019.01.148	PBNO/5%CP/GF	layered	PbBi2Nb2O9	Pb	1	Bi	2	Nb	2	O	9	Yes		SS	none			none	none		none	none	24	5	950			visible	35		liq	3.7	orthorhombic		237.28
161	38	10.1016/j.egypro.2019.01.148	PBNO/10%CP/GF	layered	PbBi2Nb2O9	Pb	1	Bi	2	Nb	2	O	9	Yes		SS	none			none	none		none	none	24	5	950			visible	35		liq	3.7	orthorhombic		356.01
162	38	10.1016/j.egypro.2019.01.148	PBNO/15%CP/GF	layered	PbBi2Nb2O9	Pb	1	Bi	2	Nb	2	O	9	Yes		SS	none			none	none		none	none	24	5	950			visible	35		liq	3.7	orthorhombic		325.63
163	38	10.1016/j.egypro.2019.01.148	PBNO/20%CP/GF	layered	PbBi2Nb2O9	Pb	1	Bi	2	Nb	2	O	9	Yes		SS	none			none	none		none	none	24	5	950			visible	35		liq	3.7	orthorhombic		249.2
