feature,importance
Bet Surface Area (m2g-1),0.11886266179428427
Calcination Time (h),0.11408163074973271
Band Gap*,0.09793481050041013
cat W (g),0.0673302904171741
Calcination Temperature (C ),0.05668141060632899
A_K,0.048660364002126366
H2O:CO2,0.04403951303626547
B_Ti,0.0435912416560128
B_Ta,0.03719320195144337
A_Li,0.034148829538000844
Synthesis Method of Perovskite_SS,0.02350907889949109
B_Nb,0.020225099732265495
A_Ba,0.018045836263454518
cocatalyst_none,0.01640227771940845
Reaction Temperature (C ),0.01602349991110176
cocatalyst_Pt,0.01579352744528418
A_H,0.01494500897782822
Synthesis Method of Perovskite_GBMR,0.014722724357163715
cocatalyst_Au,0.014653951513556002
A_Na,0.014372815968913771
Synthesis Method of Perovskite_HT,0.013846905561044358
Synthesis Method of Perovskite_SG,0.013434723178912434
Light Type_UV,0.012280422533270219
Synthesis Method of Perovskite_solution combustion,0.010970640614496943
A_Sr,0.01013564680100759
Light Type_visible,0.009985128176669241
cocatalyst_Ag,0.009771745993382248
Synthesis Method of Perovskite_generic,0.009245006649933852
A_Bi,0.0075020870587825346
B_W,0.0073907968791787305
Synthesis Method of Perovskite_PC,0.006813953239864159
cocatalyst_Ru,0.006434735689676409
Synthesis Method of Perovskite_UT,0.006059273238445398
A_Cs,0.0046295346983184936
Synthesis Method of Perovskite_sonication,0.004558160761976414
cocatalyst_Rh,0.0045053415905476416
Synthesis Method of Perovskite_spin-coating,0.004155294623562141
Reaction Pressure (bar),0.004007682913363345
Dope_Eu,0.00372182295482142
cocatalyst_Pd,0.003392065270021725
cocatalyst_Cu,0.003320578387056929
Synthesis Method of Perovskite_FAPO,0.003246921963459495
A_La,0.0030937893693053103
Dope_none,0.0018780474545947552
cocatalyst_Cu2O,0.001594162787337679
A_Ca,0.0013023282221106592
Dope_Bi,0.000541891840035835
B_Fe,0.0005358642736359576
Dope_Ce,0.0002902943895187418
Dope_Y,0.00013737784542314685
cocatalyst_RuO2,0.0
