feature,importance
Calcination Time (h),0.09564828127814469
cat W (g),0.0895867175926595
Bet Surface Area (m2g-1),0.08774907244381314
Band Gap*,0.08114657037148969
Calcination Temperature (C ),0.07002389515414144
Synthesis Method of Perovskite_SS,0.04663798282935134
A_Na,0.03394486019416095
Synthesis Method of Perovskite_PTP,0.03393716693218813
Dope_none,0.027794047997455072
cocatalyst_NiO,0.027419345189124117
Synthesis Method of Perovskite_APC,0.02423545686939112
cocatalyst_none,0.020619041451202465
B_Ti,0.01909839463491714
A_Ba,0.01848226187230757
B_Ta,0.01795997457474074
B_Zr,0.017682320317395254
A_Sr,0.01588585407172958
Dope_Ba,0.015297804084894317
Synthesis Method of Perovskite_PC,0.013667728345478393
A_Ca,0.013375180333309184
"Dope_Fe,S,N",0.013152402904047959
A_Ni,0.012962170278957234
A_K,0.012319268459987352
B_Ce,0.01161381353268071
cocatalyst_Ag,0.011239511593827944
Synthesis Method of Perovskite_COP,0.010209506905068964
Light Type_UV,0.010090935713572736
Synthesis Method of Perovskite_HT,0.009778578427954831
Light Type_visible,0.009511754050965649
Synthesis Method of Perovskite_flux,0.009351969005601661
Synthesis Method of Perovskite_SG,0.007524140147947545
Synthesis Method of Perovskite_solvothermal,0.007453630831352224
cocatalyst_Pd,0.006954647730637835
cocatalyst_Cu,0.006570692855313257
cocatalyst_Ru,0.006043296847871444
cocatalyst_Au,0.005997168169364263
Reaction Pressure (bar),0.005774062156857909
A_Bi,0.005765576223266453
Synthesis Method of Perovskite_UT,0.004906623084915118
A_Pb,0.004405601819647221
Reaction Temperature (C ),0.004317129126475429
Synthesis Method of Perovskite_ES,0.00413977684305182
Synthesis Method of Perovskite_sonochemistry,0.0041175530491200495
B_Fe,0.0038250070317507236
cocatalyst_Pt,0.003553047880756359
B_Nb,0.003273567350718396
Synthesis Method of Perovskite_MS,0.0030365863459290666
Synthesis Method of Perovskite_MPC,0.0028868340509696647
Synthesis Method of Perovskite_solvo-combustion,0.0026662261824622314
Dope_Ga,0.002582810466906738
cocatalyst_Rh,0.002376316429995173
Dope_C,0.00208162591756049
A_La,0.0019096560683411086
Dope_Mg,0.0016775624774236194
Dope_N,0.0016715007514406111
Dope_Cr,0.0015989442072066229
Dope_Sr,0.001598329172936146
Synthesis Method of Perovskite_None,0.0015337734676538302
Dope_Ca,0.001531072301002415
cocatalyst_N?,0.0010991657053279937
Dope_Cu,0.0010832297456986235
Dope_La,0.0009891409590069228
Dope_Fe,0.0009031300915902439
Dope_Al,0.0008605387103614564
Synthesis Method of Perovskite_FAPO,0.0006939577825818964
cocatalyst_RuO2,0.0006359127314251105
B_W,0.00042778228172385706
"Dope_Fe,N",0.0003916232043892649
"Dope_Fe,N,S",0.00038482650957748986
Dope_B,0.00033606587888448063
"Dope_B,Fe",0.0
"Dope_S,N",0.0
cocatalyst_CuO,0.0
